Matricule  Note (/100)  Lettre
?111686:   62.325       C+
?104729:   56.7         C
?114199:   56.025       C
?131209:   48.5         D
?137551:   81.55        A
?138532:   80.625       A
?357636:   84.9         A+
?098629:   71.225       B
?113733:   72.2         B+
?058876:   70.075       B
?699772:   63.525       C+
?113724:   62.125       C+
?006129:   69.4         B
?120255:   72.15        B+
?108830:   62.075       C+
?154318:   51.25        D+
?086801:   98.375       A+
?041446:   65.8         B-
?118359:   74.825       A-
?116805:   73.7         B+
?144952:   70.5         B
Moyenne:   68.94
