Matricule	#1	#2	#3	#4	#5	#6	Note (/20)
?143908		1.2	2.0	3.0	2.4	1.0	1.85	11.45
?070643		3.75	0.75	1.5	2.2	2.15	1.45	11.8
?041348		2.65	2.35	2.6	1.5	2.65	1.75	13.5
?117465		3.0	3.5	2.75	3.0	3.0	2.65	17.9
?019854		3.25	3.0	2.5	1.75	2.75	2.5	15.75
?695839		3.75	1.5	2.5	1.5	2.9	1.85	14.0
?120382		3.0	2.5	3.0	2.55	2.5	2.9	16.45
?089027		3.25	1.5	2.4	1.8	2.5	2.9	14.35
?080362		2.85	3.0	2.4	2.8	2.75	2.9	16.7
?109837		2.15	2.0	3.0	0.25	1.65	2.35	11.4
?093613		3.4	2.25	3.0	2.8	2.5	2.9	16.85
?071802		3.75	4.0	2.65	3.0	3.0	2.65	19.05
Moyenne:	3.00	2.36	2.61	2.13	2.45	2.39	14.93
