Matricule  Note (/100)  Lettre
?201319:   45.0         E
?075971:   88.3         A
?057955:   93.1         A+
?031180:   68.25        C+
?133651:   65.0         C+
?065143:   85.9         A
?041348:   79.35        A-
?109837:   83.0         A-
?079646:   69.9         B-
?053307:   92.7         A+
?262609:   93.9         A+
?664060:   50.7         D
?081644:   94.05        A+
?044043:   71.15        B-
?143908:   84.5         A
?116017:   69.45        B-
?101338:   89.1         A+
?095659:   72.95        B
?038112:   85.6         A 
?835945:   86.95        A
?068355:   84.85        A
?123997:   85.35        A
?076079:   60.05        C
?062976:   82.75        A-
?180895:   81.45        A-
?007803:   81.45        A-
?053980:   68.2         C+
Moyenne:   78.25
